Latitude (decimal degrees):	-27.431
Longitude (decimal degrees):	32.066
Elevation (m):	255
Radiation database:	PVGIS-SARAH3


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230326:2203,0.0,0.0,0.0,0.0,20.86,4.76,0.0
20230326:2303,0.0,0.0,0.0,0.0,20.45,4.28,0.0
20230327:0003,0.0,0.0,0.0,0.0,20.06,4.28,0.0
20230327:0103,0.0,0.0,0.0,0.0,19.74,4.41,0.0
20230327:0203,0.0,0.0,0.0,0.0,19.46,4.41,0.0
20230327:0303,0.0,0.0,0.0,0.0,19.25,4.48,0.0
20230327:0403,0.0,0.0,0.0,0.0,19.06,4.55,0.0
20230327:0503,0.0,15.35,0.53,13.18,19.13,4.76,0.0
20230327:0603,0.26,122.71,4.25,26.09,19.73,5.79,0.0
20230327:0703,23.38,250.38,11.39,38.33,20.55,7.17,0.0
20230327:0803,163.36,121.14,21.97,49.19,21.37,6.69,0.0
20230327:0903,63.26,329.06,18.45,57.2,22.41,6.62,0.0
20230327:1003,41.75,360.9,17.1,59.94,23.54,6.34,0.0
20230327:1103,0.3,232.72,8.03,56.1,24.28,5.93,0.0
20230327:1203,18.62,301.65,12.51,47.44,24.65,5.66,0.0
20230327:1303,6.69,223.2,8.46,36.26,24.3,5.24,0.0
20230327:1403,21.3,147.55,7.94,23.87,23.91,5.03,0.0
20230327:1503,0.89,57.22,2.17,10.89,22.83,4.62,0.0
20230327:1603,0.0,0.0,0.0,0.0,21.36,4.0,0.0
20230327:1703,0.0,0.0,0.0,0.0,20.28,3.72,0.0
20230327:1803,0.0,0.0,0.0,0.0,19.42,3.17,0.0
20230327:1903,0.0,0.0,0.0,0.0,19.01,2.69,0.0
20230327:2003,0.0,0.0,0.0,0.0,18.43,2.28,0.0
20230327:2103,0.0,0.0,0.0,0.0,17.69,2.0,0.0
20230327:2203,0.0,0.0,0.0,0.0,16.99,1.79,0.0
20230327:2303,0.0,0.0,0.0,0.0,16.5,1.66,0.0
20230328:0003,0.0,0.0,0.0,0.0,15.99,1.66,0.0
20230328:0103,0.0,0.0,0.0,0.0,15.42,1.59,0.0
20230328:0203,0.0,0.0,0.0,0.0,15.08,1.45,0.0
20230328:0303,0.0,0.0,0.0,0.0,15.13,1.38,0.0
20230328:0403,0.0,0.0,0.0,0.0,14.59,1.45,0.0
20230328:0503,16.2,50.61,5.21,13.06,15.75,1.17,0.0
20230328:0603,75.18,66.15,12.1,25.95,19.8,1.38,0.0
20230328:0703,137.14,72.22,18.31,38.15,22.07,2.07,0.0
20230328:0803,197.68,61.81,23.61,48.94,23.67,2.83,0.0
20230328:0903,222.11,73.19,26.24,56.86,25.16,3.24,0.0
20230328:1003,241.29,61.34,27.56,59.54,26.57,3.52,0.0
20230328:1103,209.14,84.14,25.42,55.71,27.72,3.72,0.0
20230328:1203,176.73,77.99,22.2,47.1,28.46,3.72,0.0
20230328:1303,122.73,76.36,17.05,35.96,28.81,3.66,0.0
20230328:1403,57.35,75.59,10.49,23.6,28.57,3.79,0.0
20230328:1503,7.65,46.21,3.87,10.63,27.76,3.66,0.0
20230328:1603,0.0,0.0,0.0,0.0,26.03,3.1,0.0
20230328:1703,0.0,0.0,0.0,0.0,24.41,3.31,0.0
20230328:1803,0.0,0.0,0.0,0.0,23.11,3.45,0.0
20230328:1903,0.0,0.0,0.0,0.0,22.34,3.17,0.0
20230328:2003,0.0,0.0,0.0,0.0,21.69,3.03,0.0
20230328:2103,0.0,0.0,0.0,0.0,21.26,3.03,0.0
20230328:2203,0.0,0.0,0.0,0.0,20.97,3.1,0.0
20230328:2303,0.0,0.0,0.0,0.0,20.76,3.24,0.0
20230329:0003,0.0,0.0,0.0,0.0,20.58,3.24,0.0
20230329:0103,0.0,0.0,0.0,0.0,20.29,3.03,0.0
20230329:0203,0.0,0.0,0.0,0.0,19.95,2.9,0.0
20230329:0303,0.0,0.0,0.0,0.0,19.58,2.83,0.0
20230329:0403,0.0,0.0,0.0,0.0,19.21,2.76,0.0
20230329:0503,10.26,58.98,4.72,12.94,19.97,2.48,0.0
20230329:0603,63.78,75.55,11.48,25.81,22.74,2.9,0.0
20230329:0703,124.66,78.77,17.66,37.96,25.78,2.97,0.0
20230329:0803,169.22,88.14,22.2,48.7,28.78,2.83,0.0
20230329:0903,108.64,247.17,21.18,56.53,31.11,2.14,0.0
20230329:1003,90.71,291.83,20.65,59.15,32.77,0.69,0.0
20230329:1103,106.35,243.65,20.82,55.33,32.71,2.9,0.0
20230329:1203,103.3,189.98,18.86,46.76,31.26,3.31,0.0
20230329:1303,115.14,75.22,16.64,35.66,29.5,4.41,0.0
20230329:1403,50.87,76.0,10.1,23.32,28.11,4.9,0.0
20230329:1503,1.89,58.3,2.84,10.37,26.23,4.69,0.0
20230329:1603,0.0,0.0,0.0,0.0,24.52,4.0,0.0
20230329:1703,0.0,0.0,0.0,0.0,23.55,4.28,0.0
20230329:1803,0.0,0.0,0.0,0.0,22.7,4.14,0.0
20230329:1903,0.0,0.0,0.0,0.0,22.07,3.79,0.0
20230329:2003,0.0,0.0,0.0,0.0,21.54,3.93,0.0
20230329:2103,0.0,0.0,0.0,0.0,21.17,3.66,0.0
20230329:2203,0.0,0.0,0.0,0.0,20.97,2.76,0.0
20230329:2303,0.0,0.0,0.0,0.0,20.76,3.1,0.0
20230330:0003,0.0,0.0,0.0,0.0,20.51,2.97,0.0
20230330:0103,0.0,0.0,0.0,0.0,20.33,2.9,0.0
20230330:0203,0.0,0.0,0.0,0.0,20.31,2.62,0.0
20230330:0303,0.0,0.0,0.0,0.0,20.23,2.34,0.0
20230330:0403,0.0,0.0,0.0,0.0,20.31,2.48,0.0
20230330:0503,0.0,17.91,0.62,12.82,20.45,2.9,0.0
20230330:0603,0.0,46.05,1.58,25.66,21.11,3.45,0.0
20230330:0703,0.0,118.53,4.07,37.78,21.56,3.38,0.0
20230330:0803,13.5,297.26,11.89,48.45,22.27,3.38,0.0
20230330:0903,49.85,326.13,17.28,56.2,22.88,3.38,0.0
20230330:1003,1.95,285.81,10.05,58.76,23.54,3.24,0.0
20230330:1103,2.48,277.06,9.81,54.94,24.28,3.24,0.0
20230330:1203,1.61,234.75,8.26,46.42,24.43,3.03,0.0
20230330:1303,82.8,123.58,15.08,35.36,24.39,2.97,0.0
20230330:1403,0.0,52.87,1.82,23.05,24.15,3.17,0.0
20230330:1503,1.03,55.37,2.78,10.12,23.25,3.24,0.0
20230330:1603,0.0,0.0,0.0,0.0,22.23,2.76,0.0
20230330:1703,0.0,0.0,0.0,0.0,21.53,2.62,0.0
20230330:1803,0.0,0.0,0.0,0.0,21.19,2.76,0.0
20230330:1903,0.0,0.0,0.0,0.0,20.92,2.83,0.0
20230330:2003,0.0,0.0,0.0,0.0,20.59,2.97,0.0
20230330:2103,0.0,0.0,0.0,0.0,20.29,3.03,0.0
20230330:2203,0.0,0.0,0.0,0.0,20.06,2.97,0.0
20230330:2303,0.0,0.0,0.0,0.0,19.87,2.9,0.0
20230331:0003,0.0,0.0,0.0,0.0,19.66,2.55,0.0
20230331:0103,0.0,0.0,0.0,0.0,19.59,2.28,0.0
20230331:0203,0.0,0.0,0.0,0.0,19.47,2.14,0.0
20230331:0303,0.0,0.0,0.0,0.0,19.36,2.0,0.0
20230331:0403,0.0,0.0,0.0,0.0,19.21,2.0,0.0
20230331:0503,0.0,12.79,0.44,12.7,19.55,2.07,0.0
20230331:0603,0.0,66.51,2.28,25.52,20.34,2.28,0.0
20230331:0703,5.15,224.23,8.41,37.59,21.91,3.1,0.0
20230331:0803,1.84,245.71,8.67,48.2,22.43,2.48,0.0
20230331:0903,0.0,144.11,4.95,55.87,22.18,2.07,0.0
20230331:1003,0.0,223.42,7.67,58.36,21.27,1.38,0.0
20230331:1103,3.77,289.23,10.4,54.56,21.16,1.52,0.0
20230331:1203,38.44,278.55,14.59,46.08,21.63,1.66,0.0
20230331:1303,5.98,213.42,8.17,35.06,22.34,1.24,0.0
20230331:1403,0.38,111.49,3.9,22.78,22.65,0.48,0.0
20230331:1503,0.02,52.54,2.05,9.86,22.52,0.55,0.0
20230331:1603,0.0,0.0,0.0,0.0,22.19,0.62,0.0
20230331:1703,0.0,0.0,0.0,0.0,21.79,0.83,0.0
20230331:1803,0.0,0.0,0.0,0.0,21.46,0.62,0.0
20230331:1903,0.0,0.0,0.0,0.0,20.59,1.03,0.0
20230331:2003,0.0,0.0,0.0,0.0,20.57,0.76,0.0
20230331:2103,0.0,0.0,0.0,0.0,20.85,0.48,0.0
20230331:2203,0.0,0.0,0.0,0.0,20.76,0.41,0.0
20230331:2303,0.0,0.0,0.0,0.0,20.61,0.28,0.0
20230401:0003,0.0,0.0,0.0,0.0,20.44,0.41,0.0
20230401:0103,0.0,0.0,0.0,0.0,20.31,0.48,0.0
20230401:0203,0.0,0.0,0.0,0.0,19.85,0.69,0.0
20230401:0303,0.0,0.0,0.0,0.0,20.11,0.41,0.0
20230401:0403,0.0,0.0,0.0,0.0,20.06,0.21,0.0
20230401:0503,2.69,64.12,4.1,12.58,20.31,0.48,0.0
20230401:0603,43.12,92.69,10.6,25.37,21.82,0.69,0.0
20230401:0703,101.24,90.06,16.84,37.4,24.08,0.62,0.0
20230401:0803,159.08,73.38,22.05,47.95,25.82,1.03,0.0
20230401:0903,126.43,187.78,22.17,55.54,26.9,1.31,0.0
20230401:1003,4.78,308.32,11.19,57.97,27.79,1.66,0.0
20230401:1103,0.0,214.89,7.38,54.18,28.12,2.21,0.0
20230401:1203,0.0,169.7,5.83,45.74,27.56,2.69,0.0
20230401:1303,15.36,221.65,9.9,34.76,25.56,2.48,0.0
20230401:1403,5.77,140.87,5.98,22.51,25.53,2.55,0.0
20230401:1503,0.0,51.2,1.93,9.6,25.07,2.76,0.0
20230401:1603,0.0,0.0,0.0,0.0,23.92,1.93,0.0
20230401:1703,0.0,0.0,0.0,0.0,23.35,1.72,0.0
20230401:1803,0.0,0.0,0.0,0.0,22.7,1.45,0.0
20230401:1903,0.0,0.0,0.0,0.0,22.13,1.03,0.0
20230401:2003,0.0,0.0,0.0,0.0,21.78,0.62,0.0
20230401:2103,0.0,0.0,0.0,0.0,22.02,0.28,0.0
20230401:2203,0.0,0.0,0.0,0.0,21.83,0.21,0.0
20230401:2303,0.0,0.0,0.0,0.0,21.56,0.41,0.0
20230402:0003,0.0,0.0,0.0,0.0,21.33,0.41,0.0
20230402:0103,0.0,0.0,0.0,0.0,21.26,0.41,0.0
20230402:0203,0.0,0.0,0.0,0.0,20.94,0.62,0.0
20230402:0303,0.0,0.0,0.0,0.0,20.52,0.76,0.0
20230402:0403,0.0,0.0,0.0,0.0,20.53,0.69,0.0
20230402:0503,1.42,58.86,4.28,12.46,21.05,0.55,0.0
20230402:0603,41.39,86.93,10.63,25.22,23.15,0.97,0.0
20230402:0703,100.21,81.78,16.93,37.22,25.1,1.66,0.0
20230402:0803,155.35,69.98,22.05,47.69,26.8,2.41,0.0
20230402:0903,178.07,81.15,24.52,55.21,28.1,2.55,0.0
20230402:1003,179.65,93.26,25.04,57.59,28.97,2.76,0.0
20230402:1103,160.47,103.08,23.49,53.8,29.38,3.1,0.0
20230402:1203,39.25,270.03,14.76,45.4,29.91,3.38,0.0
20230402:1303,62.82,135.42,14.18,34.46,29.95,3.59,0.0
20230402:1403,35.27,65.66,9.55,22.23,28.63,3.31,0.0
20230402:1503,0.0,45.77,1.73,9.35,27.77,3.38,0.0
20230402:1603,0.0,0.0,0.0,0.0,25.92,2.97,0.0
20230402:1703,0.0,0.0,0.0,0.0,24.65,3.17,0.0
20230402:1803,0.0,0.0,0.0,0.0,23.63,3.24,0.0
20230402:1903,0.0,0.0,0.0,0.0,23.09,3.1,0.0
20230402:2003,0.0,0.0,0.0,0.0,22.49,2.9,0.0
20230402:2103,0.0,0.0,0.0,0.0,22.05,2.83,0.0
20230402:2203,0.0,0.0,0.0,0.0,21.88,2.83,0.0
20230402:2303,0.0,0.0,0.0,0.0,21.73,2.9,0.0
20230403:0003,0.0,0.0,0.0,0.0,21.72,3.17,0.0
20230403:0103,0.0,0.0,0.0,0.0,21.74,3.24,0.0
20230403:0203,0.0,0.0,0.0,0.0,21.78,3.31,0.0
20230403:0303,0.0,0.0,0.0,0.0,21.67,3.31,0.0
20230403:0403,0.0,0.0,0.0,0.0,21.59,3.31,0.0
20230403:0503,0.0,55.08,2.08,12.34,21.84,3.17,0.0
20230403:0603,48.07,57.28,11.33,25.08,22.94,5.31,0.0
20230403:0703,21.52,231.06,11.33,37.03,25.2,5.93,0.0
20230403:0803,104.54,156.02,19.65,47.44,27.46,5.31,0.0
20230403:0903,171.08,81.58,24.28,54.87,29.51,5.03,0.0
20230403:1003,184.09,74.73,25.34,57.2,31.23,4.9,0.0
20230403:1103,165.96,80.59,23.75,53.42,32.5,4.69,0.0
20230403:1203,132.94,77.86,20.47,45.06,33.19,4.48,0.0
20230403:1303,79.23,85.5,15.2,34.16,33.46,4.41,0.0
20230403:1403,31.92,61.25,9.46,21.96,33.31,4.34,0.0
20230403:1503,0.0,48.1,1.82,9.1,31.98,2.97,0.0
20230403:1603,0.0,0.0,0.0,0.0,30.19,1.17,0.0
20230403:1703,0.0,0.0,0.0,0.0,28.24,0.69,0.0
20230403:1803,0.0,0.0,0.0,0.0,26.64,0.76,0.0
20230403:1903,0.0,0.0,0.0,0.0,23.72,2.07,0.0
20230403:2003,0.0,0.0,0.0,0.0,22.93,3.93,0.0
20230403:2103,0.0,0.0,0.0,0.0,21.97,3.72,0.0
20230403:2203,0.0,0.0,0.0,0.0,21.69,3.31,0.0
20230403:2303,0.0,0.0,0.0,0.0,21.41,3.17,0.0
20230404:0003,0.0,0.0,0.0,0.0,20.95,3.45,0.0
20230404:0103,0.0,0.0,0.0,0.0,20.72,3.72,0.0
20230404:0203,0.0,0.0,0.0,0.0,20.48,3.72,0.0
20230404:0303,0.0,0.0,0.0,0.0,20.33,4.0,0.0
20230404:0403,0.0,0.0,0.0,0.0,20.21,3.93,0.0
20230404:0503,0.0,42.67,1.61,12.22,20.52,3.38,0.0
20230404:0603,44.45,56.21,11.39,24.93,21.31,4.14,0.0
20230404:0703,99.64,64.33,17.4,36.84,23.06,5.17,0.0
20230404:0803,30.64,289.36,14.47,47.19,24.23,5.52,0.0
20230404:0903,142.33,129.02,23.31,54.54,24.87,5.24,0.0
20230404:1003,29.95,342.27,15.93,56.81,25.82,4.76,0.0
20230404:1103,132.31,138.53,22.55,53.04,26.76,4.41,0.0
20230404:1203,71.45,200.12,17.43,44.72,26.76,4.48,0.0
20230404:1303,59.0,125.71,14.23,33.86,25.02,4.55,0.0
20230404:1403,28.57,58.6,9.49,21.69,24.2,4.28,0.0
20230404:1503,0.0,40.34,1.52,8.84,23.51,3.86,0.0
20230404:1603,0.0,0.0,0.0,0.0,22.41,3.31,0.0
20230404:1703,0.0,0.0,0.0,0.0,21.65,3.31,0.0
20230404:1803,0.0,0.0,0.0,0.0,21.03,3.03,0.0
20230404:1903,0.0,0.0,0.0,0.0,20.48,2.83,0.0
20230404:2003,0.0,0.0,0.0,0.0,20.05,2.9,0.0
20230404:2103,0.0,0.0,0.0,0.0,19.79,2.76,0.0
20230404:2203,0.0,0.0,0.0,0.0,19.66,2.76,0.0
20230404:2303,0.0,0.0,0.0,0.0,19.44,2.97,0.0
20230405:0003,0.0,0.0,0.0,0.0,19.1,2.97,0.0
20230405:0103,0.0,0.0,0.0,0.0,18.81,2.83,0.0
20230405:0203,0.0,0.0,0.0,0.0,18.41,2.55,0.0
20230405:0303,0.0,0.0,0.0,0.0,17.97,2.34,0.0
20230405:0403,0.0,0.0,0.0,0.0,17.52,2.28,0.0
20230405:0503,0.0,51.98,1.96,12.09,18.0,1.86,0.0
20230405:0603,40.61,55.79,11.45,24.78,20.45,3.1,0.0
20230405:0703,96.32,61.81,17.52,36.64,22.63,3.66,0.0
20230405:0803,144.8,61.82,22.32,46.93,24.34,3.66,0.0
20230405:0903,165.66,76.75,24.69,54.21,25.74,3.52,0.0
20230405:1003,173.56,77.05,25.45,56.43,26.63,3.45,0.0
20230405:1103,119.51,157.09,22.14,52.66,27.27,3.45,0.0
20230405:1203,112.97,101.05,20.06,44.38,27.31,3.52,0.0
20230405:1303,77.18,69.9,15.64,33.56,27.42,3.72,0.0
20230405:1403,24.5,58.35,9.46,21.42,26.24,3.86,0.0
20230405:1503,0.0,40.34,1.52,8.59,24.92,3.72,0.0
20230405:1603,0.0,0.0,0.0,0.0,23.14,3.1,0.0
20230405:1703,0.0,0.0,0.0,0.0,21.95,2.83,0.0
20230405:1803,0.0,0.0,0.0,0.0,21.11,2.62,0.0
20230405:1903,0.0,0.0,0.0,0.0,20.59,2.48,0.0
20230405:2003,0.0,0.0,0.0,0.0,20.04,2.34,0.0
20230405:2103,0.0,0.0,0.0,0.0,19.65,2.28,0.0
20230405:2203,0.0,0.0,0.0,0.0,19.2,2.14,0.0
20230405:2303,0.0,0.0,0.0,0.0,19.02,2.07,0.0
20230406:0003,0.0,0.0,0.0,0.0,19.04,2.07,0.0
20230406:0103,0.0,0.0,0.0,0.0,18.96,2.14,0.0
20230406:0203,0.0,0.0,0.0,0.0,18.88,2.07,0.0
20230406:0303,0.0,0.0,0.0,0.0,18.63,1.93,0.0
20230406:0403,0.0,0.0,0.0,0.0,18.39,1.86,0.0
20230406:0503,0.0,50.43,1.9,11.97,18.84,1.52,0.0
20230406:0603,23.6,101.3,9.93,24.63,21.51,2.41,0.0
20230406:0703,69.6,110.25,15.9,36.45,22.73,3.66,0.0
20230406:0803,113.18,109.41,20.62,46.68,24.19,3.45,0.0
20230406:0903,110.41,174.12,21.88,53.88,24.86,3.45,0.0
20230406:1003,94.87,223.71,21.38,56.04,25.7,3.52,0.0
20230406:1103,0.0,130.47,4.48,52.29,25.95,3.52,0.0
20230406:1203,60.58,206.96,16.84,44.05,26.19,3.45,0.0
20230406:1303,48.21,131.64,13.71,33.27,26.27,3.31,0.0
20230406:1403,9.71,110.8,7.53,21.15,25.55,3.17,0.0
20230406:1503,0.0,38.79,1.46,8.34,24.62,3.1,0.0
20230406:1603,0.0,0.0,0.0,0.0,23.01,2.55,0.0
20230406:1703,0.0,0.0,0.0,0.0,21.75,2.14,0.0
20230406:1803,0.0,0.0,0.0,0.0,20.89,1.59,0.0
20230406:1903,0.0,0.0,0.0,0.0,19.86,1.59,0.0
20230406:2003,0.0,0.0,0.0,0.0,18.93,1.59,0.0
20230406:2103,0.0,0.0,0.0,0.0,18.18,1.59,0.0
20230406:2203,0.0,0.0,0.0,0.0,17.98,1.45,0.0
20230406:2303,0.0,0.0,0.0,0.0,17.73,1.31,0.0
20230407:0003,0.0,0.0,0.0,0.0,17.73,1.17,0.0
20230407:0103,0.0,0.0,0.0,0.0,17.43,1.17,0.0
20230407:0203,0.0,0.0,0.0,0.0,17.15,1.24,0.0
20230407:0303,0.0,0.0,0.0,0.0,16.99,1.31,0.0
20230407:0403,0.0,0.0,0.0,0.0,16.58,1.52,0.0
20230407:0503,0.0,49.65,1.87,11.85,17.69,1.24,0.0
20230407:0603,31.54,53.93,11.13,24.48,21.56,1.31,0.0
20230407:0703,84.07,62.24,17.05,36.26,24.15,1.86,0.0
20230407:0803,130.69,62.32,21.76,46.42,26.03,1.17,0.0
20230407:0903,155.48,69.77,24.34,53.55,27.57,0.48,0.0
20230407:1003,160.77,74.15,24.95,55.66,28.93,0.48,0.0
20230407:1103,145.11,76.44,23.46,51.92,29.93,0.69,0.0
20230407:1203,114.16,70.15,20.24,43.72,30.57,0.9,0.0
20230407:1303,66.29,66.75,15.17,32.97,30.68,1.1,0.0
20230407:1403,16.12,54.09,9.11,20.89,30.27,1.52,0.0
20230407:1503,0.0,38.01,1.44,8.09,29.11,2.07,0.0
20230407:1603,0.0,0.0,0.0,0.0,26.72,2.21,0.0
20230407:1703,0.0,0.0,0.0,0.0,24.85,1.86,0.0
20230407:1803,0.0,0.0,0.0,0.0,23.51,1.52,0.0
20230407:1903,0.0,0.0,0.0,0.0,22.36,1.45,0.0
20230407:2003,0.0,0.0,0.0,0.0,21.2,1.59,0.0
20230407:2103,0.0,0.0,0.0,0.0,20.4,1.66,0.0
20230407:2203,0.0,0.0,0.0,0.0,19.83,1.72,0.0
20230407:2303,0.0,0.0,0.0,0.0,19.42,1.59,0.0
20230408:0003,0.0,0.0,0.0,0.0,20.19,1.1,0.0
20230408:0103,0.0,0.0,0.0,0.0,20.87,0.41,0.0
20230408:0203,0.0,0.0,0.0,0.0,18.86,1.24,0.0
20230408:0303,0.0,0.0,0.0,0.0,17.42,1.86,0.0
20230408:0403,0.0,0.0,0.0,0.0,17.44,2.07,0.0
20230408:0503,0.0,57.41,2.17,11.72,19.08,2.21,0.0
20230408:0603,10.69,133.52,8.46,24.33,22.21,3.93,0.0
20230408:0703,27.73,203.54,12.65,36.06,24.72,3.93,0.0
20230408:0803,49.54,238.6,16.64,46.17,26.42,3.17,0.0
20230408:0903,99.83,176.89,21.47,53.22,27.87,2.69,0.0
20230408:1003,78.17,241.58,20.41,55.28,29.43,2.34,0.0
20230408:1103,95.54,173.78,20.91,51.54,30.27,2.34,0.0
20230408:1203,104.98,76.83,19.86,43.38,30.62,2.48,0.0
20230408:1303,58.96,72.3,14.85,32.68,30.36,2.83,0.0
20230408:1403,4.25,117.1,6.74,20.62,29.21,3.24,0.0
20230408:1503,0.0,40.34,1.52,7.85,27.2,3.59,0.0
20230408:1603,0.0,0.0,0.0,0.0,25.09,3.31,0.0
20230408:1703,0.0,0.0,0.0,0.0,23.8,2.76,0.0
20230408:1803,0.0,0.0,0.0,0.0,22.98,1.79,0.0
20230408:1903,0.0,0.0,0.0,0.0,22.97,1.24,0.0
20230408:2003,0.0,0.0,0.0,0.0,22.74,0.83,0.0
20230408:2103,0.0,0.0,0.0,0.0,22.19,0.76,0.0
20230408:2203,0.0,0.0,0.0,0.0,21.9,0.76,0.0
20230408:2303,0.0,0.0,0.0,0.0,21.6,0.76,0.0
20230409:0003,0.0,0.0,0.0,0.0,21.95,0.48,0.0
20230409:0103,0.0,0.0,0.0,0.0,21.78,0.55,0.0
20230409:0203,0.0,0.0,0.0,0.0,21.16,0.83,0.0
20230409:0303,0.0,0.0,0.0,0.0,20.52,1.1,0.0
20230409:0403,0.0,0.0,0.0,0.0,20.11,1.24,0.0
20230409:0503,0.0,56.63,2.14,11.6,21.02,0.97,0.0
20230409:0603,7.07,139.79,7.82,24.17,23.95,1.72,0.0
20230409:0703,53.13,117.85,15.08,35.87,25.65,1.79,0.0
20230409:0803,103.0,93.01,20.3,45.91,27.87,2.76,0.0
20230409:0903,102.62,155.84,21.59,52.89,29.14,3.24,0.0
20230409:1003,119.5,131.69,22.87,54.91,30.68,3.38,0.0
20230409:1103,108.47,127.79,21.62,51.18,32.15,3.38,0.0
20230409:1203,79.04,124.72,18.28,43.05,32.96,3.38,0.0
20230409:1303,2.01,184.69,6.82,32.38,33.23,3.52,0.0
20230409:1403,0.0,46.9,1.61,20.36,32.59,3.72,0.0
20230409:1503,0.0,38.79,1.46,7.6,31.28,3.45,0.0
20230409:1603,0.0,0.0,0.0,0.0,29.37,3.1,0.0
20230409:1703,0.0,0.0,0.0,0.0,27.85,3.17,0.0
20230409:1803,0.0,0.0,0.0,0.0,26.46,3.24,0.0
20230409:1903,0.0,0.0,0.0,0.0,25.41,3.31,0.0
20230409:2003,0.0,0.0,0.0,0.0,24.64,3.24,0.0
20230409:2103,0.0,0.0,0.0,0.0,24.16,3.17,0.0
20230409:2203,0.0,0.0,0.0,0.0,23.82,2.97,0.0
20230409:2303,0.0,0.0,0.0,0.0,23.62,2.9,0.0
20230410:0003,0.0,0.0,0.0,0.0,23.46,3.1,0.0
20230410:0103,0.0,0.0,0.0,0.0,23.46,3.17,0.0
20230410:0203,0.0,0.0,0.0,0.0,23.42,3.03,0.0
20230410:0303,0.0,0.0,0.0,0.0,23.43,2.76,0.0
20230410:0403,0.0,0.0,0.0,0.0,23.33,2.48,0.0
20230410:0503,0.0,62.06,2.34,11.47,23.62,2.41,0.0
20230410:0603,1.52,145.31,5.77,24.02,24.94,2.62,0.0
20230410:0703,8.0,224.81,9.58,35.67,26.49,3.1,0.0
20230410:0803,2.23,246.54,8.87,45.65,28.8,3.52,0.0
20230410:0903,1.01,250.97,8.79,52.56,30.5,3.86,0.0
20230410:1003,0.2,232.69,8.03,54.53,31.35,3.86,0.0
20230410:1103,23.93,306.53,14.73,50.81,31.43,3.72,0.0
20230410:1203,13.67,267.19,11.86,42.72,30.7,2.41,0.0
20230410:1303,0.0,129.62,4.45,32.09,29.53,0.14,0.0
20230410:1403,2.39,88.76,7.5,20.1,28.06,2.34,0.0
20230410:1503,0.0,28.7,1.08,7.36,25.84,3.52,0.0
20230410:1603,0.0,0.0,0.0,0.0,23.77,3.59,0.0
20230410:1703,0.0,0.0,0.0,0.0,22.87,3.31,0.0
20230410:1803,0.0,0.0,0.0,0.0,22.6,3.1,0.0
20230410:1903,0.0,0.0,0.0,0.0,22.53,3.1,0.0
20230410:2003,0.0,0.0,0.0,0.0,22.25,2.9,0.0
20230410:2103,0.0,0.0,0.0,0.0,22.05,2.97,0.0
20230410:2203,0.0,0.0,0.0,0.0,21.91,3.17,0.0
20230410:2303,0.0,0.0,0.0,0.0,21.58,3.38,0.0
20230411:0003,0.0,0.0,0.0,0.0,21.19,3.52,0.0
20230411:0103,0.0,0.0,0.0,0.0,20.85,3.79,0.0
20230411:0203,0.0,0.0,0.0,0.0,20.42,3.52,0.0
20230411:0303,0.0,0.0,0.0,0.0,20.21,3.31,0.0
20230411:0403,0.0,0.0,0.0,0.0,20.1,2.97,0.0
20230411:0503,0.0,59.73,2.26,11.35,20.27,3.31,0.0
20230411:0603,11.03,86.38,9.9,23.87,21.15,4.76,0.0
20230411:0703,36.16,156.27,14.18,35.47,22.19,4.0,0.0
20230411:0803,40.41,242.23,16.2,45.4,23.04,3.93,0.0
20230411:0903,101.91,141.42,22.14,52.23,23.42,3.86,0.0
20230411:1003,16.21,332.21,14.26,54.16,23.75,4.0,0.0
20230411:1103,20.37,311.62,14.44,50.44,24.29,4.0,0.0
20230411:1203,18.75,264.31,12.98,42.4,24.16,3.93,0.0
20230411:1303,0.97,175.34,6.3,31.8,23.47,3.93,0.0
20230411:1403,0.0,112.49,4.25,19.83,22.82,4.0,0.0
20230411:1503,0.0,33.36,1.26,7.12,21.76,3.59,0.0
20230411:1603,0.0,0.0,0.0,0.0,21.05,3.31,0.0
20230411:1703,0.0,0.0,0.0,0.0,20.77,2.83,0.0
20230411:1803,0.0,0.0,0.0,0.0,20.66,2.21,0.0
20230411:1903,0.0,0.0,0.0,0.0,20.49,2.0,0.0
20230411:2003,0.0,0.0,0.0,0.0,20.29,1.72,0.0
20230411:2103,0.0,0.0,0.0,0.0,20.41,1.72,0.0
20230411:2203,0.0,0.0,0.0,0.0,20.32,1.79,0.0
20230411:2303,0.0,0.0,0.0,0.0,20.06,2.0,0.0
20230412:0003,0.0,0.0,0.0,0.0,19.52,2.07,0.0
20230412:0103,0.0,0.0,0.0,0.0,19.0,1.79,0.0
20230412:0203,0.0,0.0,0.0,0.0,18.61,1.45,0.0
20230412:0303,0.0,0.0,0.0,0.0,18.26,1.1,0.0
20230412:0403,0.0,0.0,0.0,0.0,17.62,0.97,0.0
20230412:0503,0.0,62.84,2.37,11.22,18.22,0.55,0.0
20230412:0603,9.91,64.22,10.46,23.71,19.95,0.41,0.0
20230412:0703,47.36,102.78,15.55,35.28,21.91,1.79,0.0
20230412:0803,101.08,65.95,21.15,45.14,23.89,3.72,0.0
20230412:0903,1.5,265.02,9.37,51.91,24.98,4.21,0.0
